company,period,view,scenario,metric,value,value_type
MSFT,Q2 25,trajectory,n/a,Commercial RPO/Backlog ($B),368,number
MSFT,Q3 25,trajectory,n/a,Commercial RPO/Backlog ($B),392,number
MSFT,Q4 25,trajectory,n/a,Commercial RPO/Backlog ($B),625,number
MSFT,Q1 26,trajectory,n/a,Commercial RPO/Backlog ($B),627,number
MSFT,Q2 26,trajectory,n/a,Commercial RPO/Backlog ($B),678,number
MSFT,Q2 25,trajectory,n/a,Quarterly Capex ($B),24.2,number
MSFT,Q3 25,trajectory,n/a,Quarterly Capex ($B),34.9,number
MSFT,Q4 25,trajectory,n/a,Quarterly Capex ($B),37.5,number
MSFT,Q1 26,trajectory,n/a,Quarterly Capex ($B),31.9,number
MSFT,Q2 26,trajectory,n/a,Quarterly Capex ($B),41,number
MSFT,Q2 25,trajectory,n/a,Annualized AI Capex ($B),82.28,number
MSFT,Q3 25,trajectory,n/a,Annualized AI Capex ($B),118.66,number
MSFT,Q4 25,trajectory,n/a,Annualized AI Capex ($B),127.5,number
MSFT,Q1 26,trajectory,n/a,Annualized AI Capex ($B),108.46,number
MSFT,Q2 26,trajectory,n/a,Annualized AI Capex ($B),139.4,number
MSFT,Q2 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),73.6,number
MSFT,Q3 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),78.4,number
MSFT,Q4 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),125,number
MSFT,Q1 26,trajectory,n/a,Annualized AI Revenue Proxy ($B),125.4,number
MSFT,Q2 26,trajectory,n/a,Annualized AI Revenue Proxy ($B),135.6,number
MSFT,Q2 25,trajectory,base,Forward ROIC (Base),0.26835196888672824,number
MSFT,Q3 25,trajectory,base,Forward ROIC (Base),0.19821338277431316,number
MSFT,Q4 25,trajectory,base,Forward ROIC (Base),0.29411764705882354,number
MSFT,Q1 26,trajectory,base,Forward ROIC (Base),0.34685598377281945,number
MSFT,Q2 26,trajectory,base,Forward ROIC (Base),0.29182209469153514,number
MSFT,Q2 25,trajectory,base,Spread vs WACC (ppt),0.17495196888672826,number
MSFT,Q3 25,trajectory,base,Spread vs WACC (ppt),0.10481338277431317,number
MSFT,Q4 25,trajectory,base,Spread vs WACC (ppt),0.20071764705882356,number
MSFT,Q1 26,trajectory,base,Spread vs WACC (ppt),0.25345598377281947,number
MSFT,Q2 26,trajectory,base,Spread vs WACC (ppt),0.19842209469153516,number
GOOG,Q2 25,trajectory,n/a,Revenue Backlog/RPO ($B),108.2,number
GOOG,Q3 25,trajectory,n/a,Revenue Backlog/RPO ($B),157.7,number
GOOG,Q4 25,trajectory,n/a,Revenue Backlog/RPO ($B),242.8,number
GOOG,Q1 26,trajectory,n/a,Revenue Backlog/RPO ($B),467.6,number
GOOG,Q2 26,trajectory,n/a,Revenue Backlog/RPO ($B),519.5,number
GOOG,Q2 25,trajectory,n/a,Quarterly Capex ($B),22.446,number
GOOG,Q3 25,trajectory,n/a,Quarterly Capex ($B),23.953,number
GOOG,Q4 25,trajectory,n/a,Quarterly Capex ($B),27.851,number
GOOG,Q1 26,trajectory,n/a,Quarterly Capex ($B),35.674,number
GOOG,Q2 26,trajectory,n/a,Quarterly Capex ($B),44.924,number
GOOG,Q2 25,trajectory,n/a,Annualized AI Capex ($B),71.8272,number
GOOG,Q3 25,trajectory,n/a,Annualized AI Capex ($B),76.6496,number
GOOG,Q4 25,trajectory,n/a,Annualized AI Capex ($B),89.1232,number
GOOG,Q1 26,trajectory,n/a,Annualized AI Capex ($B),114.1568,number
GOOG,Q2 26,trajectory,n/a,Annualized AI Capex ($B),143.7568,number
GOOG,Q2 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),28.131999999999998,number
GOOG,Q3 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),41.001999999999995,number
GOOG,Q4 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),63.12800000000001,number
GOOG,Q1 26,trajectory,n/a,Annualized AI Revenue Proxy ($B),121.576,number
GOOG,Q2 26,trajectory,n/a,Annualized AI Revenue Proxy ($B),135.07,number
GOOG,Q2 25,trajectory,base,Forward ROIC (Base),0.11749866345896816,number
GOOG,Q3 25,trajectory,base,Forward ROIC (Base),0.16047833256794553,number
GOOG,Q4 25,trajectory,base,Forward ROIC (Base),0.2124968582815698,number
GOOG,Q1 26,trajectory,base,Forward ROIC (Base),0.31949739305937097,number
GOOG,Q2 26,trajectory,base,Forward ROIC (Base),0.2818718836256789,number
GOOG,Q2 25,trajectory,base,Spread vs WACC (ppt),0.010898663458968158,number
GOOG,Q3 25,trajectory,base,Spread vs WACC (ppt),0.053878332567945525,number
GOOG,Q4 25,trajectory,base,Spread vs WACC (ppt),0.1058968582815698,number
GOOG,Q1 26,trajectory,base,Spread vs WACC (ppt),0.21289739305937097,number
GOOG,Q2 26,trajectory,base,Spread vs WACC (ppt),0.1752718836256789,number
AMZN,Q2 25,trajectory,n/a,AWS-linked Commitments/RPO ($B),195,number
AMZN,Q3 25,trajectory,n/a,AWS-linked Commitments/RPO ($B),200,number
AMZN,Q4 25,trajectory,n/a,AWS-linked Commitments/RPO ($B),244,number
AMZN,Q1 26,trajectory,n/a,AWS-linked Commitments/RPO ($B),364,number
AMZN,Q2 26,trajectory,n/a,AWS-linked Commitments/RPO ($B),496,number
AMZN,Q2 25,trajectory,n/a,Quarterly Capex ($B),32.183,number
AMZN,Q3 25,trajectory,n/a,Quarterly Capex ($B),35.095,number
AMZN,Q4 25,trajectory,n/a,Quarterly Capex ($B),39.522,number
AMZN,Q1 26,trajectory,n/a,Quarterly Capex ($B),44.203,number
AMZN,Q2 26,trajectory,n/a,Quarterly Capex ($B),54.208,number
AMZN,Q2 25,trajectory,n/a,Annualized AI Capex ($B),96.549,number
AMZN,Q3 25,trajectory,n/a,Annualized AI Capex ($B),105.285,number
AMZN,Q4 25,trajectory,n/a,Annualized AI Capex ($B),118.566,number
AMZN,Q1 26,trajectory,n/a,Annualized AI Capex ($B),132.609,number
AMZN,Q2 26,trajectory,n/a,Annualized AI Capex ($B),162.624,number
AMZN,Q2 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),26.812500000000004,number
AMZN,Q3 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),27.500000000000004,number
AMZN,Q4 25,trajectory,n/a,Annualized AI Revenue Proxy ($B),33.550000000000004,number
